,dates,1,2,3,4,5,6,7
0,2000-02-12 20:46:47,65.70553432223602,58.56861480973589,75.3711139054562,54.10746007963156,116.84680366095269,63.4804939143594,92.11268808027357
1,2001-09-10 20:42:38,69.29488638612416,54.309902744366056,74.03781251378285,56.86589593624668,100.27543690797171,69.3361296282456,102.81639330889976
2,2001-11-29 20:42:36,71.86566454092498,61.999088069731144,75.35100769202134,56.29636378083302,116.21494186384999,71.34344388179721,64.48213157970073
3,2003-02-04 20:42:40,62.590851036071875,67.49337638190099,87.8945399389239,61.791957650973565,119.51215267816471,76.6196428070978,69.2649822199436
4,2003-03-24 20:42:41,54.08036604848723,61.69947781499685,84.28576231336064,50.63012541884218,115.29067924688624,73.79367697680078,73.14709509659471
5,2013-08-18 20:56:05,100.39175319892927,83.67280649776511,108.07294605820333,74.47069781109418,,99.22117600748153,105.1445505123334
6,2014-02-26 20:54:45,72.55629697593564,87.52290221504444,109.23488016189712,69.90578691849491,117.74924330861494,100.59958841383835,102.42795376501027
7,2014-03-30 20:54:17,66.00431236708172,84.87343289983613,108.10203206940528,67.07881998827648,112.349113627675,94.72336310962216,100.01243645329984
8,2014-06-02 20:53:41,74.62428782970758,79.05486918264678,109.55743889655506,78.95101949650042,112.14211493199996,97.94814086027684,101.02622854864775
9,2014-12-27 20:54:08,,81.4121982766398,108.90539131157355,57.4685579322472,96.360879955925,99.42260054047522,96.83095031871075
10,2015-01-28 20:54:01,87.0507296528362,90.03454403948264,118.85930254398117,78.47694598277201,123.19886902193892,100.92982508931337,104.48206960261541
11,2015-06-05 20:53:15,74.61366426601113,82.84930236624189,110.5463918989907,82.52875565202042,113.75716093884795,96.80032499485571,102.11523472064387
12,2017-03-22 20:53:41,64.12214873397208,78.63325022206112,113.9130018480709,90.7327905123115,126.54313418905652,100.04647392501063,107.28495103740241
13,2017-10-16 20:54:21,70.05550422821057,72.8891617424224,100.41867378361017,66.19076310366535,90.62234348671142,96.53649539921454,100.94250751756039
14,2018-12-06 20:53:57,73.23920772901619,80.57800885201539,104.8720001252235,65.7175486639194,70.72643291232833,101.49464424593225,100.10052499111076
15,2018-12-22 20:53:56,70.32201767325172,78.67440031374466,106.27958666804221,69.96339483899577,95.41610757524447,100.0228346348371,96.04698916820699
16,2020-07-20 20:53:57,72.48127067795693,73.23718672249986,105.63695971347273,77.87623487861862,87.15492131918586,100.9313065704152,105.19008311783607
17,2020-12-11 20:54:24,76.98977203058901,87.89721713202053,110.431856693051,73.18248701886183,87.3424765166777,98.76343917002227,100.11584334812754
18,2021-09-09 20:54:19,72.89903083420401,78.02625059540695,108.35354771589255,81.16942079052214,78.66627810975935,98.8869612573885,99.92485731276315
19,2021-09-25 20:54:23,75.9510098349455,80.30049351359627,108.54543393464289,68.20640178469856,75.64317536512418,97.5065713577093,102.41461414695871
20,2022-02-24 20:54:09,71.20486180050943,81.77639829609146,110.69512179602009,70.23371456056101,84.1892690626401,106.38367052305112,102.66640802544158
21,2022-12-17 20:54:30,72.99588517568586,87.1823968717902,110.39965030704373,62.08279473291474,74.48134861703677,97.70801548883487,96.27668220628941
22,2023-01-10 20:54:29,82.04914828205978,85.8351873596668,106.93975544833796,62.09245780653513,88.62590507931206,101.21176847980718,98.8916727432972
23,2023-01-18 20:54:21,77.1841567530369,87.61038324362887,111.40817221411427,66.17144335644674,102.70844128020231,102.7098786944239,99.94047013137784
24,2023-06-11 20:53:30,83.98832514036465,80.48249071378088,106.06843243741619,65.83197179702167,84.4214927640279,105.67400125056446,105.82563404404644
25,2023-08-22 20:53:54,75.66829589396275,76.61279485857477,98.67993140566448,61.64063815992661,70.6180911946418,96.43170672141744,102.03023796729522
